Order ID,Product Name,Order Date,Delivery Date,Price
407-5400578-7898706,"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Service, etc.) 40 Videos | 2000+ Solved Examples | 10000+ Practice Questions",27 April 2024,Delivered 30-Apr-2024,552.00
407-8113486-2521905,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",23 March 2024,Delivered 24-Mar-2024,"1,699.00"
407-7181274-4044369,"Sounce Fast iPhone Charging Cable & Data Sync USB Cable Compatible with iPhone 6/6S/7/7+/8/8+/10/11/12/13, iPad Air/Mini, iPod, and iOS Devices (Pack of 1 (Type C))",19 March 2024,Delivered 21-Mar-2024,199.00
407-1938477-6701133,"Tatloc Tattoo Healing Balm With Vitamin A and D, Natural Herbs and Oils, Tattoo Butter, Tattoo Shiner, Ointment, Tattoo Wax- No Parabens, No Petroleum Jelly. 100% Natural",19 March 2024,Delivered 21-Mar-2024,348.00
